"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE569744374";19/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-7202540-5441111";1;;;"A100210WC54-2A-1B-40-FD-2A-C";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553373621";21/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-3627394-1049102";1;;;"A1002102WC54-2A1B-40-FB-CC-2";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE567036727";01/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"403-0025527-7252301";1;;;"A100210WC54-2A-1B-41-02-DC-B";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553487897";13/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"405-7361271-9788365";1;;;"A1002103WC54-2A-1B-45-E6-EEE-3";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHK067710964";26/08/2021;"B095X86D23";"CRC-2008338";"CRICUT";"CRICUT EXPLOREAIR3 MENTHE";"306-0309012-7124304";1;;;"N080321J4147";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE574016809";12/09/2021;"B08DHWLZSR";"X-RSD0177CE";"ROBOROCK";"ROBOROCK S6 MAXV";"405-1704052-4675539";1;;;;"New";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE576531462";17/09/2021;"B085BP7ZC5";"X-SKV4109GL";"XIAOMI";"XIAOMI MOPPRO BLACK";"404-7504424-4426726";1;;;"26199/00456444";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE574715518";05/08/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"407-6322019-9608300";1;;;"QHY156D6";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE582380919";27/08/2021;"B075WVZN5Z";"P3D2050";"PAX";"PAX3 BASIC BLACK";"171-6458731-8567557";1;;;"ND8TGRVJ";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE567131291";10/08/2021;"B08HQTJ5CT";"P3D2453";"PAX";"PAX3 COMPLETE ONYX";"171-9307218-9560314";1;;;"T45TJ706";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE578778920";16/08/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"402-4954247-1258713";1;;;"W59J3R7P";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE566132097";08/08/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"403-1255755-7497949";1;;;"A1002104WC54-2A-1B-4A-2D-5C-0";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE583906027";23/08/2021;"B08HQ1HG71";"P3D2454";"PAX";"PAX3 COMPLETE SAND";"402-3533863-9450746";1;;;"MN6N63VX";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE574521554";05/08/2021;"B075XPB1RM";"P3D2045";"PAX";"PAX3 COMPLETE ROSE GOLD";"403-3310716-3915556";1;;;"K1K95613";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE582710560";27/08/2021;"B08HQZT7GW";"P3D2455";"PAX";"PAX3 COMPLETE SAGE";"408-1016326-1905935";1;;;"F7C91PX1";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE565955391";07/08/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"406-8280403-5156310";1;;;"A1002104WC54-2A-1B-B7-2D-88-0";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE591303175";12/09/2021;"B075XPB1RM";"P3D2045";"PAX";"PAX3 COMPLETE ROSE GOLD";"404-7562985-7541155";1;;;"T3K0PNW7";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE583115492";08/09/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"305-1440102-3330750";1;;;"X9XV9M96";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE573892003";09/09/2021;"B08HQTJ5CT";"P3D2453";"PAX";"PAX3 COMPLETE ONYX";"402-1814277-7343536";1;;;"NYQMK5M6";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE575826039";03/09/2021;"B08HQ1MSGF";"P3D2451";"PAX";"PAX3 BASIC SAGE";"405-0212819-9283562";1;;;"N3V1JPJ6";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE576846318";09/09/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"305-7106311-3359550";1;;;"Y1FGHQ40";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE591218718";30/08/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"171-4984943-5150769";1;;;"A1002104WC54-2A-1B-1B7-34-4B-B";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE567096771";19/08/2021;"B075WYBXKK";"P3D2051";"PAX";"PAX3 BASIC TEAL";"408-6142250-3020356";1;;;"NX1068XV";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE566861980";05/07/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-6715120-8650755";1;;;"A1002102W54-2A-1B-40-81-92-9";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581105046";20/09/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"403-9207536-3197150";1;;;"A1002105WC54-2A-1B-BB-3C-4A-B";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569762618";16/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-8396521-7104348";1;;;;"New";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE566926760";28/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-2203648-3889944";1;;;"A1002103W54-2A-1B-45-E6-58-6";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562837213";04/08/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"402-7893627-1476309";1;;;"A1002104W54-2A-1B-49-9E-A8-1";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE566861638";02/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"405-5355320-3525128";1;;;"A1002102WC54-2A-1B-41-02-5E-1";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE582234997";15/09/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-9297581-4640359";1;;;"A1002105WC54-2A-1B-BB-66-24-C";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562690262";25/08/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"404-9193021-4464323";1;;;"A1002104W54-2A-1B-B7-2C-82-A";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
