"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in IT";"Node Id in ES"
"fr-apparel";464898031;"/Catégories/Fille/Vêtements de sport/Chaussettes de sport";1730874031;1981243031;3841260031;2949350031
"fr-apparel";464899031;"/Catégories/Fille/Vêtements de sport/Gilets de sport";1730862031;1981231031;3841266031;2949337031
"fr-apparel";464900031;"/Catégories/Fille/Jeans";1730879031;1981248031;2892874031;3074093031
"fr-apparel";464901031;"/Catégories/Fille/Salopettes";1730888031;1981257031;2892881031;3074081031
"fr-apparel";464902031;"/Catégories/Fille/Pantalons";1730920031;1981289031;2892879031;3074084031
"fr-apparel";464903031;"/Catégories/Fille/Shorts et bermudas";1730889031;1981258031;2892878031;3074083031
"fr-apparel";464904031;"/Catégories/Fille/Jupes";1730890031;1981259031;2892872031;3074080031
"fr-apparel";464905031;"/Catégories/Fille/Manteaux et blousons/Blousons";1730886031;1981255031;2892985031;3074370031
"fr-apparel";464907031;"/Catégories/Fille/Manteaux et blousons/Manteaux";1730884031;1981253031;2892984031;3074368031
"fr-apparel";464909031;"/Catégories/Fille/Manteaux et blousons/Gilets sans manche";1730885031;1981254031;2892986031;3074369031
"fr-apparel";464911031;"/Catégories/Fille/Vêtements imperméables/Manteaux imperméables";1730900031;1981269031;2892998031;3074384031
"fr-apparel";464912031;"/Catégories/Fille/Vêtements imperméables/Pantalons de pluie";1730899031;1981268031;2893000031;3074385031
"fr-apparel";464913031;"/Catégories/Fille/Vêtements imperméables/Combinaisons de neige";1730902031;1981271031;2893001031;3074387031
"fr-apparel";464914031;"/Catégories/Fille/Vêtements imperméables/Pantalons et salopettes de neige";1730901031;1981270031;2892999031;3074386031
"fr-apparel";464916031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Hauts de pyjama";1730895031;1981264031;2893004031;3074361031
"fr-apparel";464917031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Bas de pyjama";1730893031;1981262031;2893005031;3074364031
"fr-apparel";464918031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Ensembles de pyjama";1730894031;1981263031;2893006031;3074365031
"fr-apparel";464919031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Grenouillères";1730897031;1981266031;2893007031;3074363031
"fr-apparel";464920031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Chemises de nuit";1730892031;1981261031;2893003031;3074362031
"fr-apparel";464921031;"/Catégories/Fille/Vêtements de nuit et peignoirs/Robes de chambres et kimonos";1730896031;1981265031;2893008031;3074360031
"fr-apparel";464923031;"/Catégories/Fille/Chaussettes, collants et leggings/Chaussettes";1730904031;1981273031;2892979031;3074347031
"fr-apparel";464924031;"/Catégories/Fille/Chaussettes, collants et leggings/Collants";1730908031;1981277031;2892982031;3074350031
"fr-apparel";464925031;"/Catégories/Fille/Chaussettes, collants et leggings/Leggings";1730907031;1981276031;2892983031;3074349031
"fr-apparel";464927031;"/Catégories/Fille/Sous-vêtements/Maillots de corps";1730928031;1981297031;2892988031;3074389031
"fr-apparel";464929031;"/Catégories/Fille/Sous-vêtements/Culottes";1730922031;1981291031;2892990031;3074388031
"fr-apparel";464930031;"/Catégories/Fille/Sous-vêtements/Combinaisons";1730923031;1981292031;2892991031;3074391031
"fr-apparel";464932031;"/Catégories/Fille/Maillots de bain/Maillots une pièce";1730912031;1981281031;3950195031;2949356031
"fr-apparel";464933031;"/Catégories/Fille/Maillots de bain/Maillots deux pièces";1730914031;1981283031;3950194031;2949358031
"fr-apparel";464934031;"/Catégories/Fille/Maillots de bain/Shorts";1730913031;1981282031;3950196031;2949357031
"fr-apparel";464936031;"/Catégories/Fille/Maillots de bain/Paréos";1730911031;1981280031;3950193031;2949355031
"fr-apparel";464938031;"/Catégories/Garçon/Costumes et vestons/Costumes";1730821031;1981190031;2893025031;3074448031
