"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in FR";"Node Id in IT";"Node Id in ES"
"de-apparel";1981235031;"/Kategorien/Mädchen/Streetwear/Pullover";1730866031;464891031;3841272031;2949338031
"de-apparel";1981236031;"/Kategorien/Mädchen/Streetwear/Sets";1730867031;2308769031;3841262031;2949339031
"de-apparel";1981237031;"/Kategorien/Mädchen/Streetwear/Shirts & Blusen";1730868031;464890031;3841261031;2949340031
"de-apparel";1981238031;"/Kategorien/Mädchen/Streetwear/Shorts";1730869031;464894031;3841273031;2949341031
"de-apparel";1981239031;"/Kategorien/Mädchen/Streetwear/Röcke";1730870031;464895031;3841267031;2949342031
"de-apparel";1981240031;"/Kategorien/Mädchen/Streetwear/Strumpfhosen & Leggings";1730871031;464893031;3841259031;2949343031
"de-apparel";1981241031;"/Kategorien/Mädchen/Streetwear/Trainingsanzüge";1730872031;464889031;3841275031;2949344031
"de-apparel";1981242031;"/Kategorien/Mädchen/Streetwear/Hosen";1730873031;464892031;3841274031;2949345031
"de-apparel";1981243031;"/Kategorien/Mädchen/Streetwear/Sportsocken";1730874031;464898031;3841260031;2949350031
"de-apparel";1981244031;"/Kategorien/Mädchen/Streetwear/Jacken";1730875031;464888031;3841265031;2949351031
"de-apparel";1981245031;"/Kategorien/Mädchen/Blusen & Tuniken";1730876031;464883031;2892866031;3074076031
"de-apparel";1981246031;"/Kategorien/Mädchen/Kleider";1730877031;464877031;2892864031;3074094031
"de-apparel";1981247031;"/Kategorien/Mädchen/Kapuzenpullover";1730878031;464886031;3841264031;2949352031
"de-apparel";1981248031;"/Kategorien/Mädchen/Jeanshosen";1730879031;464900031;2892874031;3074093031
"de-apparel";1981250031;"/Kategorien/Mädchen/Pullover & Strickjacken/Strickjacken";1730881031;2308761031;2892992031;3074366031
"de-apparel";1981251031;"/Kategorien/Mädchen/Pullover & Strickjacken/Pullover";1730882031;2308762031;2892993031;3074367031
"de-apparel";1981253031;"/Kategorien/Mädchen/Jacken, Mäntel & Westen/Mäntel";1730884031;464907031;2892984031;3074368031
